,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-16 22:46:59.518438,,,,,,,,,
1,Simulation configuration ID,5c79ec67-d33f-4200-b09a-dbe8d55d59e7,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,44.0,aggregator_agent,1017.0,41.0,control_center_agent,0.0,41.0,44.0
1,,,1.0,63.0,household_agent_3,1003.0,41.0,aggregator_agent,0.0,41.0,63.0
2,,,37.0,2077.0,control_center_agent,1018.0,41.0,aggregator_agent,0.0,41.0,2077.0
3,,,14.0,1041.0,household_agent_1,1001.0,41.0,household_agent_0,0.0,41.0,1041.0
4,,,10.0,1041.0,household_agent_0,1000.0,41.0,household_agent_1,0.0,41.0,1041.0
5,,,11.0,1041.0,household_agent_2,1002.0,41.0,household_agent_1,1.0,41.0,1042.0
6,,,6.0,1041.0,household_agent_1,1001.0,41.0,household_agent_2,0.0,41.0,1041.0
7,,,7.0,1041.0,household_agent_3,1003.0,41.0,household_agent_2,1.0,41.0,1042.0
8,,,2.0,417.0,household_agent_2,1002.0,41.0,household_agent_3,0.0,41.0,417.0
9,,,3.0,417.0,household_agent_4,1004.0,41.0,household_agent_3,0.0,41.0,417.0
10,,,4.0,1041.0,household_agent_2,1002.0,41.0,household_agent_3,1.0,41.0,1042.0
11,,,5.0,1041.0,household_agent_4,1004.0,41.0,household_agent_3,0.0,41.0,1041.0
12,,,36.0,1323.0,aggregator_agent,1017.0,41.0,household_agent_3,0.0,41.0,1323.0
13,,,8.0,1041.0,household_agent_3,1003.0,41.0,household_agent_4,0.0,41.0,1041.0
14,,,9.0,1041.0,household_agent_5,1005.0,41.0,household_agent_4,1.0,41.0,1042.0
15,,,12.0,1041.0,household_agent_4,1004.0,41.0,household_agent_5,1.0,41.0,1042.0
16,,,13.0,1041.0,household_agent_6,1006.0,41.0,household_agent_5,0.0,41.0,1041.0
17,,,15.0,1041.0,household_agent_5,1005.0,41.0,household_agent_6,0.0,41.0,1041.0
18,,,16.0,1041.0,household_agent_7,1007.0,41.0,household_agent_6,1.0,41.0,1042.0
19,,,17.0,1041.0,household_agent_6,1006.0,41.0,household_agent_7,0.0,41.0,1041.0
20,,,18.0,1041.0,household_agent_8,1008.0,41.0,household_agent_7,1.0,41.0,1042.0
21,,,19.0,1041.0,household_agent_7,1007.0,41.0,household_agent_8,0.0,41.0,1041.0
22,,,20.0,1041.0,household_agent_9,1009.0,41.0,household_agent_8,0.0,41.0,1041.0
23,,,21.0,1041.0,household_agent_8,1008.0,41.0,household_agent_9,0.0,41.0,1041.0
24,,,22.0,1041.0,household_agent_10,1010.0,41.0,household_agent_9,0.0,41.0,1041.0
25,,,23.0,1041.0,household_agent_9,1009.0,41.0,household_agent_10,0.0,41.0,1041.0
26,,,24.0,1041.0,household_agent_11,1011.0,41.0,household_agent_10,1.0,41.0,1042.0
27,,,25.0,1041.0,household_agent_10,1010.0,41.0,household_agent_11,1.0,41.0,1042.0
28,,,26.0,1041.0,household_agent_12,1012.0,41.0,household_agent_11,1.0,41.0,1042.0
29,,,27.0,1041.0,household_agent_11,1011.0,41.0,household_agent_12,0.0,41.0,1041.0
30,,,28.0,1041.0,generation_agent_0,1013.0,41.0,household_agent_12,1.0,41.0,1042.0
31,,,29.0,1041.0,household_agent_12,1012.0,41.0,generation_agent_0,0.0,41.0,1041.0
32,,,30.0,1041.0,generation_agent_1,1014.0,41.0,generation_agent_0,0.0,41.0,1041.0
33,,,31.0,1041.0,generation_agent_0,1013.0,41.0,generation_agent_1,0.0,41.0,1041.0
34,,,32.0,1041.0,generation_agent_2,1015.0,41.0,generation_agent_1,0.0,41.0,1041.0
35,,,33.0,1041.0,generation_agent_1,1014.0,41.0,generation_agent_2,0.0,41.0,1041.0
36,,,34.0,1041.0,generation_agent_3,1016.0,41.0,generation_agent_2,1.0,41.0,1042.0
37,,,35.0,1041.0,generation_agent_2,1015.0,41.0,generation_agent_3,1.0,41.0,1042.0
