,Parameter,Value,msgId,timeSend_ms,receiver,receiverPort,packetSize_B_x,sender,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-09-17 01:42:05.608160,,,,,,,,,
1,Simulation configuration ID,346d3c69-42eb-4b02-b7c7-5c5bee11210a,,,,,,,,,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,,,,,,,,,
3,Communication graph,Ring Overlay Topology with 25 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,HIERARCHICAL,,,,,,,,,
0,,,0.0,68.0,aggregator_agent,1017.0,41.0,control_center_agent,0.0,41.0,68.0
1,,,1.0,166.0,generation_agent_2,1015.0,41.0,aggregator_agent,0.0,41.0,166.0
2,,,37.0,1534.0,control_center_agent,1018.0,41.0,aggregator_agent,0.0,41.0,1534.0
3,,,35.0,658.0,household_agent_1,1001.0,41.0,household_agent_0,0.0,41.0,658.0
4,,,33.0,658.0,household_agent_0,1000.0,41.0,household_agent_1,0.0,41.0,658.0
5,,,34.0,658.0,household_agent_2,1002.0,41.0,household_agent_1,1.0,41.0,659.0
6,,,31.0,658.0,household_agent_1,1001.0,41.0,household_agent_2,0.0,41.0,658.0
7,,,32.0,658.0,household_agent_3,1003.0,41.0,household_agent_2,1.0,41.0,659.0
8,,,29.0,658.0,household_agent_2,1002.0,41.0,household_agent_3,0.0,41.0,658.0
9,,,30.0,658.0,household_agent_4,1004.0,41.0,household_agent_3,0.0,41.0,658.0
10,,,27.0,658.0,household_agent_3,1003.0,41.0,household_agent_4,0.0,41.0,658.0
11,,,28.0,658.0,household_agent_5,1005.0,41.0,household_agent_4,1.0,41.0,659.0
12,,,25.0,658.0,household_agent_4,1004.0,41.0,household_agent_5,1.0,41.0,659.0
13,,,26.0,658.0,household_agent_6,1006.0,41.0,household_agent_5,0.0,41.0,658.0
14,,,23.0,658.0,household_agent_5,1005.0,41.0,household_agent_6,0.0,41.0,658.0
15,,,24.0,658.0,household_agent_7,1007.0,41.0,household_agent_6,1.0,41.0,659.0
16,,,21.0,658.0,household_agent_6,1006.0,41.0,household_agent_7,1.0,41.0,659.0
17,,,22.0,658.0,household_agent_8,1008.0,41.0,household_agent_7,1.0,41.0,659.0
18,,,19.0,658.0,household_agent_7,1007.0,41.0,household_agent_8,0.0,41.0,658.0
19,,,20.0,658.0,household_agent_9,1009.0,41.0,household_agent_8,0.0,41.0,658.0
20,,,17.0,658.0,household_agent_8,1008.0,41.0,household_agent_9,0.0,41.0,658.0
21,,,18.0,658.0,household_agent_10,1010.0,41.0,household_agent_9,0.0,41.0,658.0
22,,,15.0,658.0,household_agent_9,1009.0,41.0,household_agent_10,0.0,41.0,658.0
23,,,16.0,658.0,household_agent_11,1011.0,41.0,household_agent_10,1.0,41.0,659.0
24,,,13.0,658.0,household_agent_10,1010.0,41.0,household_agent_11,1.0,41.0,659.0
25,,,14.0,658.0,household_agent_12,1012.0,41.0,household_agent_11,1.0,41.0,659.0
26,,,11.0,658.0,household_agent_11,1011.0,41.0,household_agent_12,0.0,41.0,658.0
27,,,12.0,658.0,generation_agent_0,1013.0,41.0,household_agent_12,1.0,41.0,659.0
28,,,9.0,658.0,household_agent_12,1012.0,41.0,generation_agent_0,0.0,41.0,658.0
29,,,10.0,658.0,generation_agent_1,1014.0,41.0,generation_agent_0,0.0,41.0,658.0
30,,,6.0,658.0,generation_agent_0,1013.0,41.0,generation_agent_1,0.0,41.0,658.0
31,,,7.0,658.0,generation_agent_2,1015.0,41.0,generation_agent_1,0.0,41.0,658.0
32,,,2.0,412.0,generation_agent_1,1014.0,41.0,generation_agent_2,0.0,41.0,412.0
33,,,3.0,412.0,generation_agent_3,1016.0,41.0,generation_agent_2,0.0,41.0,412.0
34,,,4.0,658.0,generation_agent_1,1014.0,41.0,generation_agent_2,0.0,41.0,658.0
35,,,5.0,658.0,generation_agent_3,1016.0,41.0,generation_agent_2,1.0,41.0,659.0
36,,,36.0,555.0,aggregator_agent,1017.0,41.0,generation_agent_2,0.0,41.0,555.0
37,,,8.0,658.0,generation_agent_2,1015.0,41.0,generation_agent_3,1.0,41.0,659.0
