,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2024-12-30 11:45:36.170991,,,,,,,,,
1,Simulation configuration ID,a7cf9aaf-a953-4ff6-be24-d4ee5ced267d,,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-MV-urban--1-no_sw,,,,,,,,,
3,Communication graph,Star Overlay Topology with 324 agents,,,,,,,,,
4,Agent communication pattern,DemandSupplyBalancing,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"Increasing data size generator with lower bound = 200 B,upper bound = 1000 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,CENTRALIZED,,,,,,,,,
0,,,0.0,80.0,control_center_agent,991.0,generation_agent_25,0.0,81.0,536.0,161.0
1,,,0.0,80.0,control_center_agent,991.0,generation_agent_25,0.0,198.0,455.0,278.0
2,,,319.0,80.0,control_center_agent,991.0,generation_agent_40,0.0,47.0,536.0,127.0
3,,,319.0,80.0,control_center_agent,991.0,generation_agent_40,0.0,70.0,455.0,150.0
4,,,320.0,80.0,control_center_agent,991.0,generation_agent_36,0.0,30.0,536.0,110.0
5,,,320.0,80.0,control_center_agent,991.0,generation_agent_36,0.0,51.0,455.0,131.0
6,,,322.0,80.0,control_center_agent,991.0,generation_agent_17,0.0,36.0,536.0,116.0
7,,,322.0,80.0,control_center_agent,991.0,generation_agent_17,0.0,57.0,455.0,137.0
8,,,323.0,80.0,control_center_agent,991.0,generation_agent_80,0.0,86.0,536.0,166.0
9,,,323.0,80.0,control_center_agent,991.0,generation_agent_80,0.0,184.0,455.0,264.0
10,,,641.0,80.0,control_center_agent,991.0,generation_agent_31,0.0,41.0,536.0,121.0
11,,,641.0,80.0,control_center_agent,991.0,generation_agent_31,0.0,64.0,455.0,144.0
12,,,642.0,80.0,control_center_agent,991.0,generation_agent_37,0.0,32.0,536.0,112.0
13,,,642.0,80.0,control_center_agent,991.0,generation_agent_37,0.0,53.0,455.0,133.0
14,,,644.0,80.0,control_center_agent,991.0,generation_agent_96,0.0,53.0,536.0,133.0
15,,,644.0,80.0,control_center_agent,991.0,generation_agent_96,0.0,76.0,455.0,156.0
16,,,645.0,80.0,control_center_agent,991.0,generation_agent_38,0.0,29.0,536.0,109.0
17,,,645.0,80.0,control_center_agent,991.0,generation_agent_38,0.0,49.0,455.0,129.0
18,,,963.0,80.0,control_center_agent,991.0,generation_agent_98,0.0,48.0,536.0,128.0
19,,,963.0,80.0,control_center_agent,991.0,generation_agent_98,0.0,79.0,455.0,159.0
20,,,1281.0,80.0,control_center_agent,991.0,generation_agent_32,0.0,29.0,536.0,109.0
21,,,1281.0,80.0,control_center_agent,991.0,generation_agent_32,0.0,49.0,455.0,129.0
22,,,1599.0,80.0,control_center_agent,991.0,generation_agent_2,0.0,40.0,536.0,120.0
23,,,1599.0,80.0,control_center_agent,991.0,generation_agent_2,0.0,64.0,455.0,144.0
24,,,1384.0,180.0,generation_agent_2,991.0,control_center_agent,0.0,222.0,536.0,402.0
25,,,1384.0,180.0,generation_agent_2,991.0,control_center_agent,0.0,248.0,536.0,428.0
26,,,1601.0,180.0,household_agent_1,991.0,control_center_agent,0.0,88.0,536.0,268.0
27,,,1601.0,180.0,household_agent_1,991.0,control_center_agent,0.0,109.0,455.0,289.0
28,,,1602.0,180.0,household_agent_2,991.0,control_center_agent,0.0,72.0,536.0,252.0
29,,,1602.0,180.0,household_agent_2,991.0,control_center_agent,0.0,97.0,455.0,277.0
30,,,1603.0,180.0,household_agent_3,991.0,control_center_agent,0.0,161.0,536.0,341.0
31,,,1603.0,180.0,household_agent_3,991.0,control_center_agent,0.0,177.0,455.0,357.0
32,,,1604.0,180.0,household_agent_4,991.0,control_center_agent,0.0,146.0,536.0,326.0
33,,,1604.0,180.0,household_agent_4,991.0,control_center_agent,0.0,167.0,455.0,347.0
34,,,1605.0,180.0,household_agent_5,991.0,control_center_agent,0.0,297.0,536.0,477.0
35,,,1605.0,180.0,household_agent_5,991.0,control_center_agent,0.0,313.0,455.0,493.0
36,,,1606.0,180.0,household_agent_6,991.0,control_center_agent,0.0,113.0,536.0,293.0
37,,,1606.0,180.0,household_agent_6,991.0,control_center_agent,0.0,130.0,455.0,310.0
38,,,1607.0,180.0,household_agent_7,991.0,control_center_agent,0.0,39.0,536.0,219.0
39,,,1607.0,180.0,household_agent_7,991.0,control_center_agent,0.0,53.0,455.0,233.0
40,,,1608.0,180.0,household_agent_8,991.0,control_center_agent,0.0,66.0,536.0,246.0
41,,,1608.0,180.0,household_agent_8,991.0,control_center_agent,0.0,81.0,455.0,261.0
42,,,1609.0,180.0,household_agent_9,991.0,control_center_agent,0.0,30.0,536.0,210.0
43,,,1609.0,180.0,household_agent_9,991.0,control_center_agent,0.0,44.0,455.0,224.0
44,,,1610.0,180.0,household_agent_10,991.0,control_center_agent,0.0,36.0,536.0,216.0
45,,,1610.0,180.0,household_agent_10,991.0,control_center_agent,0.0,50.0,455.0,230.0
46,,,1611.0,180.0,household_agent_11,991.0,control_center_agent,0.0,68.0,536.0,248.0
47,,,1611.0,180.0,household_agent_11,991.0,control_center_agent,0.0,97.0,455.0,277.0
48,,,1612.0,180.0,household_agent_12,991.0,control_center_agent,0.0,183.0,536.0,363.0
49,,,1612.0,180.0,household_agent_12,991.0,control_center_agent,0.0,206.0,455.0,386.0
50,,,1614.0,180.0,household_agent_14,991.0,control_center_agent,0.0,424.0,536.0,604.0
51,,,1614.0,180.0,household_agent_14,991.0,control_center_agent,0.0,451.0,455.0,631.0
52,,,1615.0,180.0,household_agent_15,991.0,control_center_agent,0.0,145.0,536.0,325.0
53,,,1615.0,180.0,household_agent_15,991.0,control_center_agent,0.0,167.0,455.0,347.0
54,,,1616.0,180.0,household_agent_16,991.0,control_center_agent,0.0,294.0,536.0,474.0
55,,,1616.0,180.0,household_agent_16,991.0,control_center_agent,0.0,316.0,455.0,496.0
56,,,1617.0,180.0,household_agent_17,991.0,control_center_agent,0.0,89.0,536.0,269.0
57,,,1617.0,180.0,household_agent_17,991.0,control_center_agent,0.0,104.0,455.0,284.0
58,,,1618.0,180.0,household_agent_18,991.0,control_center_agent,0.0,114.0,536.0,294.0
59,,,1618.0,180.0,household_agent_18,991.0,control_center_agent,0.0,129.0,455.0,309.0
60,,,1619.0,180.0,household_agent_19,991.0,control_center_agent,0.0,310.0,536.0,490.0
61,,,1619.0,180.0,household_agent_19,991.0,control_center_agent,0.0,327.0,455.0,507.0
62,,,1620.0,180.0,household_agent_20,991.0,control_center_agent,0.0,188.0,536.0,368.0
63,,,1620.0,180.0,household_agent_20,991.0,control_center_agent,0.0,210.0,455.0,390.0
64,,,1621.0,180.0,household_agent_21,991.0,control_center_agent,0.0,138.0,536.0,318.0
65,,,1621.0,180.0,household_agent_21,991.0,control_center_agent,0.0,156.0,455.0,336.0
66,,,1622.0,180.0,household_agent_22,991.0,control_center_agent,0.0,94.0,536.0,274.0
67,,,1622.0,180.0,household_agent_22,991.0,control_center_agent,0.0,129.0,455.0,309.0
68,,,1623.0,180.0,household_agent_23,991.0,control_center_agent,0.0,65.0,536.0,245.0
69,,,1623.0,180.0,household_agent_23,991.0,control_center_agent,0.0,86.0,455.0,266.0
70,,,1624.0,180.0,household_agent_24,991.0,control_center_agent,0.0,63.0,536.0,243.0
71,,,1624.0,180.0,household_agent_24,991.0,control_center_agent,0.0,79.0,455.0,259.0
72,,,1625.0,180.0,household_agent_25,991.0,control_center_agent,0.0,82.0,536.0,262.0
73,,,1625.0,180.0,household_agent_25,991.0,control_center_agent,0.0,103.0,455.0,283.0
74,,,1626.0,180.0,household_agent_26,991.0,control_center_agent,0.0,38.0,536.0,218.0
75,,,1626.0,180.0,household_agent_26,991.0,control_center_agent,0.0,53.0,455.0,233.0
76,,,1627.0,180.0,household_agent_27,991.0,control_center_agent,0.0,27.0,536.0,207.0
77,,,1627.0,180.0,household_agent_27,991.0,control_center_agent,0.0,42.0,455.0,222.0
78,,,1628.0,180.0,household_agent_28,991.0,control_center_agent,0.0,259.0,536.0,439.0
79,,,1628.0,180.0,household_agent_28,991.0,control_center_agent,0.0,281.0,455.0,461.0
80,,,1629.0,180.0,household_agent_29,991.0,control_center_agent,0.0,272.0,536.0,452.0
81,,,1629.0,180.0,household_agent_29,991.0,control_center_agent,0.0,290.0,455.0,470.0
82,,,1630.0,180.0,household_agent_30,991.0,control_center_agent,0.0,198.0,536.0,378.0
83,,,1630.0,180.0,household_agent_30,991.0,control_center_agent,0.0,219.0,455.0,399.0
84,,,1631.0,180.0,household_agent_31,991.0,control_center_agent,0.0,278.0,536.0,458.0
85,,,1631.0,180.0,household_agent_31,991.0,control_center_agent,0.0,295.0,455.0,475.0
86,,,1632.0,180.0,household_agent_32,991.0,control_center_agent,0.0,167.0,536.0,347.0
87,,,1632.0,180.0,household_agent_32,991.0,control_center_agent,0.0,189.0,455.0,369.0
88,,,1633.0,180.0,household_agent_33,991.0,control_center_agent,0.0,85.0,536.0,265.0
89,,,1633.0,180.0,household_agent_33,991.0,control_center_agent,0.0,106.0,455.0,286.0
90,,,1634.0,180.0,household_agent_34,991.0,control_center_agent,0.0,160.0,536.0,340.0
91,,,1634.0,180.0,household_agent_34,991.0,control_center_agent,0.0,184.0,455.0,364.0
92,,,1635.0,180.0,household_agent_35,991.0,control_center_agent,0.0,34.0,536.0,214.0
93,,,1635.0,180.0,household_agent_35,991.0,control_center_agent,0.0,53.0,455.0,233.0
94,,,1636.0,180.0,household_agent_36,991.0,control_center_agent,0.0,166.0,536.0,346.0
95,,,1636.0,180.0,household_agent_36,991.0,control_center_agent,0.0,185.0,455.0,365.0
96,,,1637.0,180.0,household_agent_37,991.0,control_center_agent,0.0,52.0,536.0,232.0
97,,,1637.0,180.0,household_agent_37,991.0,control_center_agent,0.0,67.0,455.0,247.0
98,,,1638.0,180.0,household_agent_38,991.0,control_center_agent,0.0,107.0,536.0,287.0
