,Parameter,Value,sender
0,Start simulation,2025-01-21 15:11:23.429496,
1,Simulation configuration ID,122dd38a-44eb-4030-80a8-71611e134859,
2,Network,SimbenchNetwork_LTE_1-MVLV-rural-all-2-no_sw,
3,Communication graph,Ring Overlay Topology with 330 agents,
4,Agent communication pattern,VoltageRegulation,
5,Trigger Type,TIME_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",
7,Frequency,0,
8,Simulation duration,30000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
