,Parameter,Value,sender
0,Start simulation,2025-01-21 22:26:23.294659,
1,Simulation configuration ID,ef820002-7139-4091-b8d2-591822190b0c,
2,Network,SimbenchNetwork_5G_1-MV-urban--1-no_sw,
3,Communication graph,Ring Overlay Topology with 324 agents,
4,Agent communication pattern,VoltageRegulation,
5,Trigger Type,TIME_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",
7,Frequency,0,
8,Simulation duration,30000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
