,Parameter,Value,sender
0,Start simulation,2025-01-14 03:50:26.526070,
1,Simulation configuration ID,412ab417-714d-4eaa-938d-f09d735fae2b,
2,Network,SimbenchNetwork_5G_1-LV-semiurb4--1-no_sw,
3,Communication graph,Small World Overlay Topology with 65 agents and p = 0.5,
4,Agent communication pattern,MarketParticipation,
5,Trigger Type,TIME_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",
7,Frequency,0,
8,Simulation duration,900000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
