,Parameter,Value,sender
0,Start simulation,2025-01-21 13:33:40.445809,
1,Simulation configuration ID,57d0d06f-dded-40ab-89ec-0ae1894ed933,
2,Network,SimbenchNetwork_LTE450_1-MVLV-rural-all-2-no_sw,
3,Communication graph,Small World Overlay Topology with 330 agents and p = 0.5,
4,Agent communication pattern,VoltageRegulation,
5,Trigger Type,TIME_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",
7,Frequency,0,
8,Simulation duration,30000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
