,Parameter,Value,sender
0,Start simulation,2025-01-18 04:03:30.504576,
1,Simulation configuration ID,69bc1da0-dbe3-4015-ab2b-ac805953e044,
2,Network,SimbenchNetwork_LTE_1-LV-semiurb4--1-no_sw,
3,Communication graph,Small World Overlay Topology with 65 agents and p = 0.5,
4,Agent communication pattern,MarketParticipation,
5,Trigger Type,TIME_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",
7,Frequency,0,
8,Simulation duration,900000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
