,Parameter,Value,sender
0,Start simulation,2025-01-21 12:58:33.847228,
1,Simulation configuration ID,b61c3d63-3bcc-4c50-96ca-160263baae33,
2,Network,SimbenchNetwork_5G_1-MVLV-rural-all-2-no_sw,
3,Communication graph,Small World Overlay Topology with 330 agents and p = 0.5,
4,Agent communication pattern,VoltageRegulation,
5,Trigger Type,TIME_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",
7,Frequency,0,
8,Simulation duration,30000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
