,Parameter,Value,sender
0,Start simulation,2025-01-11 07:56:35.249294,
1,Simulation configuration ID,92482db7-b54e-4b0f-8fca-e60f4951f7ae,
2,Network,SimbenchNetwork_5G_1-MV-urban--1-no_sw,
3,Communication graph,Ring Overlay Topology with 324 agents,
4,Agent communication pattern,MarketParticipation,
5,Trigger Type,TIME_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",
7,Frequency,0,
8,Simulation duration,900000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
