,Parameter,Value,sender
0,Start simulation,2025-01-05 12:21:24.571253,
1,Simulation configuration ID,fb642548-7b9f-41ba-8f65-6ae4343ab47e,
2,Network,SimbenchNetwork_LTE450_1-MV-urban--1-no_sw,
3,Communication graph,Small World Overlay Topology with 324 agents and p = 0.5,
4,Agent communication pattern,MarketParticipation,
5,Trigger Type,TIME_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",
7,Frequency,0,
8,Simulation duration,900000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
