,Parameter,Value,sender
0,Start simulation,2025-01-07 01:39:43.905119,
1,Simulation configuration ID,ff32b3cd-5d26-4fbd-bc35-7484bed591a8,
2,Network,SimbenchNetwork_5G_1-MV-urban--1-no_sw,
3,Communication graph,Ring Overlay Topology with 324 agents,
4,Agent communication pattern,MarketParticipation,
5,Trigger Type,TIME_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",
7,Frequency,0,
8,Simulation duration,900000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
