,Parameter,Value,msgId,timeSend_ms,receiver,packetSize_B_x,sender,calculationStart_ms,delay_ms,packetSize_B_y,receivingTime_ms
0,Start simulation,2025-01-01 18:33:40.382296,,,,,,,,,
1,Simulation configuration ID,c7f1d93a-b696-40ec-b4bd-fddf18002c3e,,,,,,,,,
2,Network,SimbenchNetwork_LTE450_1-MVLV-rural-all-2-no_sw,,,,,,,,,
3,Communication graph,Small World Overlay Topology with 330 agents and p = 0.5,,,,,,,,,
4,Agent communication pattern,FaultDetectionAndLocation,,,,,,,,,
5,Trigger Type,EVENT_TRIGGERED,,,,,,,,,
6,Data size generator,"In interval data size generator with lower bound = 8 B,upper bound = 50 B",,,,,,,,,
7,Frequency,0,,,,,,,,,
8,Simulation duration,30000,,,,,,,,,
9,Communication mode,COMPLEX,,,,,,,,,
10,System State,SystemState.NORMAL,,,,,,,,,
11,Organizational structure,DECENTRALIZED,,,,,,,,,
0,,,0.0,34.0,storage_agent_13,31.0,storage_agent_14,0.0,54.0,47.0,76.0
1,,,0.0,34.0,storage_agent_13,31.0,storage_agent_14,0.0,53.0,31.0,87.0
2,,,0.0,34.0,storage_agent_13,31.0,storage_agent_14,0.0,61.0,28.0,68.0
3,,,1.0,34.0,storage_agent_15,48.0,storage_agent_14,0.0,65.0,26.0,87.0
4,,,1.0,34.0,storage_agent_15,48.0,storage_agent_14,0.0,64.0,48.0,98.0
5,,,1.0,34.0,storage_agent_15,48.0,storage_agent_14,0.0,66.0,25.0,151.0
