,Parameter,Value,sender
0,Start simulation,2025-01-19 02:13:53.006988,
1,Simulation configuration ID,b351b794-ae81-4865-a643-d27330f602e9,
2,Network,SimbenchNetwork_LTE450_1-MVLV-rural-all-2-no_sw,
3,Communication graph,Ring Overlay Topology with 330 agents,
4,Agent communication pattern,MarketParticipation,
5,Trigger Type,TIME_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",
7,Frequency,0,
8,Simulation duration,900000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
