,Parameter,Value,sender
0,Start simulation,2025-01-18 22:50:00.618351,
1,Simulation configuration ID,b2720c26-f6d0-4f6a-8473-c58fc0f31d09,
2,Network,SimbenchNetwork_LTE_1-MVLV-rural-all-2-no_sw,
3,Communication graph,Small World Overlay Topology with 330 agents and p = 0.5,
4,Agent communication pattern,MarketParticipation,
5,Trigger Type,TIME_TRIGGERED,
6,Data size generator,"In interval data size generator with lower bound = 50 B,upper bound = 200 B",
7,Frequency,0,
8,Simulation duration,900000,
9,Communication mode,COMPLEX,
10,System State,SystemState.NORMAL,
11,Organizational structure,DECENTRALIZED,
