,Parameter,Value,sender
0,Start simulation,2024-09-16 14:09:34.783960,
1,Simulation configuration ID,63047190-4b32-4ce1-9ce9-873ddc4541fd,
2,Network,SimbenchNetwork_Ethernet_1-LV-rural1--0-no_sw,
3,Communication graph,Star Overlay Topology with 25 agents,
4,Agent communication pattern,WACsVoltageStabilityControl,
5,Trigger Type,EVENT_TRIGGERED,
6,Data size generator,Fixed data size generator with data size = 18 B,
7,Frequency,0,
8,Simulation duration,300000,
9,Communication mode,BROADCAST,
10,System State,SystemState.NORMAL,
